"","Test.kidney.2","Control.kidney.1","Control.lung.1","Test.lung.1","Test.lung.2","Control.lung.2","Control.liver.1","Test.liver.2","Test.liver.1","Control.liver.2"
"Brsk1",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"C130080G10Rik",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Cadps",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Calr4",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Ccdc121",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Ccdc87",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Ccl8",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Cdh17",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Cdh24",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Cend1",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Chat",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Chrm2",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Cldn13",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Cmtm2b",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Col6a6",0.1,0.1,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700029I15Rik",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"1700026D11Rik",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"1700123I01Rik",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"3830403N18Rik",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"4930486L24Rik",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"5430425K12Rik",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"5830428M24Rik",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"A330023F24Rik",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"AI839979",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"Aicda",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"Alpk3",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"Best1",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"Cdkl4",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"Comp",0.1,0.1,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"1700024F13Rik",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700015E13Rik",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"4930429D17Rik",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"4930599N23Rik",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"5730403I07Rik",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"9530053A07Rik",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Ankrd63",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"BC051226",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"C77370",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Calcb",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Ccdc150",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Ccdc65",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Ccl12",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Cnbd2",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Cntf",0.1,0.1,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"4930578C19Rik",0.1,0.1,1.146716838,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"4930550C14Rik",0.1,0.1,1.146716838,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"4933400F21Rik",0.1,0.1,1.146716838,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"Cd8b1",0.1,0.1,1.146716838,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"2010310C07Rik",0.1,0.815909471,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1810012K16Rik",0.1,0.815909471,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"4930483O08Rik",0.1,0.815909471,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"9630013A20Rik",0.1,0.815909471,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Cacna1a",0.1,0.815909471,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Cdon",0.1,0.815909471,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Col9a3",0.1,0.815909471,0.623358419,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700003M07Rik",0.1,0.815909471,0.623358419,0.595665885,0.1,0.1,0.1,0.1,0.1,0.1
"Adam5",0.1,0.815909471,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Acer1",0.1,0.815909471,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"C130083M11Rik",0.1,0.815909471,1.146716838,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1810053B23Rik",0.1,0.1,0.623358419,0.1,0.1,0.892763735,0.1,0.1,0.1,0.1
"1700063D05Rik",0.1,0.1,0.623358419,0.1,0.1,0.892763735,0.1,0.1,0.1,0.1
"4930545H06Rik",0.1,0.1,0.623358419,0.1,0.1,0.892763735,0.1,0.1,0.1,0.1
"4931403G20Rik",0.1,0.1,0.623358419,0.1,0.1,0.892763735,0.1,0.1,0.1,0.1
"A230009B12Rik",0.1,0.1,0.623358419,0.1,0.1,0.892763735,0.1,0.1,0.1,0.1
"C030029H02Rik",0.1,0.1,0.623358419,0.1,0.1,0.892763735,0.1,0.1,0.1,0.1
"Cdk5r1",0.1,0.1,0.623358419,0.1,0.1,0.892763735,0.1,0.1,0.1,0.1
"Ccdc113",0.1,0.1,0.623358419,0.595665885,0.1,0.892763735,0.1,0.1,0.1,0.1
"Apod",0.1,0.1,1.146716838,0.595665885,0.1,0.892763735,0.1,0.1,0.1,0.1
"4930500J02Rik",0.1,0.1,1.146716838,0.595665885,0.1,0.892763735,0.1,0.1,0.1,0.1
"4930453L07Rik",0.1,0.1,1.146716838,0.1,0.1,0.892763735,0.1,0.1,0.1,0.1
"1700001C02Rik",0.1,0.1,1.146716838,0.1,0.1,0.892763735,0.1,0.1,0.1,0.1
"Ch25h",0.1,0.815909471,0.623358419,0.1,0.1,0.892763735,0.1,0.1,0.1,0.1
"AI661453",0.1,0.815909471,0.623358419,0.1,0.1,0.892763735,0.1,0.1,0.1,0.1
"1700094J05Rik",0.1,0.815909471,1.146716838,0.595665885,0.1,0.892763735,0.1,0.1,0.1,0.1
"1700019O17Rik",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"1700001J11Rik",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"1810044D09Rik",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"1810046K07Rik",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"2810049E08Rik",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"4930565N06Rik",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"4933407L21Rik",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"5430402O13Rik",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"5730420D15Rik",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"A930011O12Rik",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"AU018091",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Aard",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Allc",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Ankrd2",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"BC024139",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"C430002N11Rik",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Ccl28",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Ccsap",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Cct6b",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Ceacam10",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Cela3b",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Chrna3",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Cldn26",0.1,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"BC025920",0.1,0.1,0.1,0.595665885,0.1,0.1,1.560026591,0.1,0.1,0.1
"1700028D13Rik",0.1,0.1,0.623358419,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"1700013F07Rik",0.1,0.1,0.623358419,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"1810011H11Rik",0.1,0.1,0.623358419,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"3110070M22Rik",0.1,0.1,0.623358419,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"4930525G20Rik",0.1,0.1,0.623358419,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"4930583K01Rik",0.1,0.1,0.623358419,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Cdh23",0.1,0.1,0.623358419,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Cfd",0.1,0.1,0.623358419,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Clec4a2",0.1,0.1,0.623358419,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"1700123M08Rik",0.1,0.1,0.623358419,0.595665885,0.1,0.1,1.560026591,0.1,0.1,0.1
"1700047G03Rik",0.1,0.1,0.623358419,0.595665885,0.1,0.1,1.560026591,0.1,0.1,0.1
"2810403D21Rik",0.1,0.1,0.623358419,0.595665885,0.1,0.1,1.560026591,0.1,0.1,0.1
"6330418K02Rik",0.1,0.815909471,0.623358419,0.595665885,0.1,0.1,1.560026591,0.1,0.1,0.1
"4930452B06Rik",0.1,0.815909471,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Aldoart1",0.1,0.1,0.1,0.1,0.1,0.892763735,1.560026591,0.1,0.1,0.1
"4930463O16Rik",0.1,0.1,0.1,0.1,0.1,0.892763735,1.560026591,0.1,0.1,0.1
"Ccl19",0.1,0.1,0.1,0.595665885,0.1,0.892763735,1.560026591,0.1,0.1,0.1
"Col5a3",0.99597619,0.1,0.623358419,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Chmp4c",0.99597619,0.1,0.623358419,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"Adm2",0.99597619,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"4931403E22Rik",0.99597619,0.1,0.1,0.1,0.1,0.1,1.560026591,0.1,0.1,0.1
"3110001I22Rik",0.99597619,0.1,0.623358419,0.1,0.1,0.892763735,1.560026591,0.1,0.1,0.1
"1700034P13Rik",0.1,0.815909471,0.1,1.586997655,2.188857662,0.1,0.1,0.1,0.1,0.1
"Car11",0.1,0.815909471,0.1,1.09133177,2.188857662,0.1,0.1,0.1,0.1,0.1
"Capn1",0.1,0.1,0.623358419,1.09133177,2.188857662,0.1,0.1,0.1,0.1,0.1
"Cd160",0.1,0.1,0.1,1.09133177,2.188857662,0.1,0.1,0.1,0.1,0.1
"Chst1",0.1,0.815909471,0.623358419,1.09133177,2.188857662,0.1,0.1,0.1,0.1,0.1
"Ankrd34b",0.1,0.815909471,0.623358419,0.595665885,2.188857662,0.1,0.1,0.1,0.1,0.1
"Amhr2",0.1,0.1,0.623358419,1.09133177,2.188857662,0.892763735,0.1,0.1,0.1,0.1
"1700025N23Rik",0.1,0.1,0.1,1.09133177,2.188857662,0.892763735,0.1,0.1,0.1,0.1
"1700047E10Rik",0.1,0.815909471,0.623358419,1.09133177,2.188857662,0.892763735,0.1,0.1,0.1,0.1
"BB283400",0.99597619,0.815909471,0.623358419,1.09133177,2.188857662,0.892763735,0.1,0.1,0.1,0.1
"1700008J07Rik",0.1,0.1,1.146716838,1.586997655,2.188857662,0.1,0.1,0.1,0.1,0.1
"AI197445",0.1,0.1,1.146716838,1.09133177,2.188857662,0.1,0.1,0.1,0.1,0.1
"Ccdc108",0.1,0.1,1.146716838,0.595665885,2.188857662,0.1,0.1,0.1,0.1,0.1
"4930567H12Rik",0.1,0.1,0.1,1.09133177,1.144428831,0.1,0.1,0.1,0.1,0.1
"4833424O15Rik",0.1,0.1,0.1,1.09133177,1.144428831,0.1,0.1,0.1,0.1,0.1
"Colq",0.1,0.1,0.1,1.586997655,1.144428831,0.1,0.1,0.1,0.1,0.1
"Acvr1b",0.99597619,0.1,0.1,1.586997655,1.144428831,0.1,0.1,0.1,0.1,0.1
"Ccdc136",0.99597619,0.1,0.1,1.09133177,1.144428831,0.1,0.1,0.1,0.1,0.1
"Amica1",0.1,0.1,0.623358419,1.09133177,1.144428831,0.1,0.1,0.1,0.1,0.1
"1110017D15Rik",0.1,0.1,0.623358419,1.09133177,1.144428831,0.1,0.1,0.1,0.1,0.1
"Ccdc19",0.1,0.1,1.146716838,1.09133177,1.144428831,0.1,0.1,0.1,0.1,0.1
"Cep112",0.1,0.1,0.623358419,1.586997655,1.144428831,0.892763735,0.1,0.1,0.1,0.1
"Adamts12",0.1,0.1,0.623358419,1.09133177,1.144428831,0.892763735,0.1,0.1,0.1,0.1
"Ccdc67",0.1,0.1,1.670075257,1.586997655,1.144428831,0.892763735,0.1,0.1,0.1,0.1
"Aldh3a1",0.1,0.1,1.146716838,2.08266354,1.144428831,0.1,0.1,0.1,0.1,0.1
"4930451G09Rik",0.1,0.1,0.623358419,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4930444P10Rik",0.1,0.1,0.623358419,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"A630033H20Rik",0.1,0.1,0.623358419,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Adamts19",0.1,0.1,0.623358419,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Aloxe3",0.1,0.1,0.623358419,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Ccdc11",0.1,0.1,0.623358419,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Cd300lb",0.1,0.1,0.623358419,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Chmp4b",0.1,0.1,0.623358419,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4931431C16Rik",0.1,0.1,0.623358419,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"2610206C17Rik",0.1,0.1,0.623358419,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"AI429214",0.1,0.1,0.623358419,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"Atg9b",0.1,0.1,0.623358419,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"4930519G04Rik",0.1,0.1,1.146716838,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"1700025K24Rik",0.1,0.1,1.146716838,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Ccdc146",0.1,0.1,1.146716838,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"4930513N10Rik",0.99597619,0.1,1.146716838,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Bend3",0.1,0.815909471,1.146716838,0.1,1.144428831,0.892763735,0.1,0.1,0.1,0.1
"2310014L17Rik",0.1,0.1,1.146716838,0.1,1.144428831,0.892763735,0.1,0.1,0.1,0.1
"4931420L22Rik",0.99597619,0.815909471,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"1700073E17Rik",0.99597619,0.815909471,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"Ccser1",0.99597619,0.815909471,0.623358419,0.1,1.144428831,0.892763735,0.1,0.1,0.1,0.1
"AU021063",0.99597619,0.1,1.146716838,0.595665885,1.144428831,0.892763735,0.1,0.1,0.1,0.1
"Amz1",0.99597619,0.1,0.623358419,1.09133177,1.144428831,0.892763735,0.1,0.1,0.1,0.1
"Bard1",0.99597619,0.815909471,1.670075257,0.595665885,1.144428831,0.892763735,0.1,0.1,0.1,0.1
"Ccdc14",0.99597619,0.815909471,1.146716838,0.595665885,1.144428831,0.892763735,0.1,0.1,0.1,0.1
"Ccr4",0.99597619,0.815909471,1.670075257,1.09133177,1.144428831,0.1,0.1,0.1,0.1,0.1
"5031414D18Rik",0.1,0.1,0.1,1.09133177,0.1,0.892763735,0.1,0.1,0.1,0.1
"4930470P17Rik",0.1,0.1,0.1,1.09133177,0.1,0.892763735,0.1,0.1,0.1,0.1
"A930006K02Rik",0.1,0.1,0.1,1.09133177,0.1,0.892763735,0.1,0.1,0.1,0.1
"Ammecr1",0.1,0.1,0.1,1.09133177,0.1,0.892763735,0.1,0.1,0.1,0.1
"Bcl6",0.1,0.1,0.1,1.09133177,0.1,0.892763735,0.1,0.1,0.1,0.1
"Col2a1",0.1,0.1,0.1,1.09133177,0.1,0.892763735,0.1,0.1,0.1,0.1
"BC006965",0.1,0.1,0.1,1.586997655,0.1,0.892763735,0.1,0.1,0.1,0.1
"1810021B22Rik",0.1,0.815909471,0.1,1.09133177,0.1,0.892763735,0.1,0.1,0.1,0.1
"4930429F24Rik",0.1,0.1,0.1,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"2410021H03Rik",0.1,0.1,0.1,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"A730036I17Rik",0.1,0.1,0.1,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Acot6",0.1,0.1,0.1,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Ak7",0.1,0.1,0.1,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"C130021I20Rik",0.1,0.1,0.1,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Ccdc147",0.1,0.1,0.1,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Cd3e",0.1,0.1,0.1,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Col19a1",0.1,0.1,0.1,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"6530402F18Rik",0.1,0.1,0.1,2.08266354,0.1,0.1,0.1,0.1,0.1,0.1
"1700028K03Rik",0.1,0.1,0.1,2.08266354,0.1,0.1,0.1,0.1,0.1,0.1
"Bcan",0.1,0.1,0.1,1.586997655,0.1,0.1,0.1,0.1,0.1,0.1
"2700046A07Rik",0.1,0.815909471,0.1,2.08266354,0.1,0.1,0.1,0.1,0.1,0.1
"A830010M20Rik",0.99597619,0.1,0.623358419,1.586997655,0.1,0.1,0.1,0.1,0.1,0.1
"4930558J18Rik",0.99597619,0.1,0.623358419,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Celf3",0.99597619,0.815909471,0.1,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"9130019O22Rik",0.99597619,0.1,0.1,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Celf5",0.1,0.1,0.1,1.09133177,0.1,0.1,0.1,1.219962324,0.1,0.1
"1810010D01Rik",0.1,0.1,0.1,1.09133177,0.1,0.1,0.1,1.219962324,0.1,0.1
"2700069I18Rik",0.1,0.1,0.1,1.586997655,0.1,0.1,0.1,1.219962324,0.1,0.1
"2610028E06Rik",0.1,0.815909471,0.623358419,1.09133177,0.1,0.1,0.1,1.219962324,0.1,0.1
"Adam1a",0.1,0.1,0.623358419,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"1700001L19Rik",0.1,0.1,0.623358419,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Adam7",0.1,0.1,0.623358419,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Ak8",0.1,0.1,0.623358419,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Bnipl",0.1,0.1,0.623358419,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Cd2",0.1,0.1,0.623358419,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Cngb1",0.1,0.1,0.623358419,1.586997655,0.1,0.1,0.1,0.1,0.1,0.1
"Ccl7",0.1,0.1,0.623358419,1.586997655,0.1,0.1,0.1,0.1,0.1,0.1
"Cacna2d3",0.1,0.1,1.146716838,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"A730082K24Rik",0.1,0.1,1.146716838,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Ccdc151",0.1,0.1,1.146716838,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Cd6",0.1,0.1,1.146716838,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Car13",0.1,0.815909471,0.623358419,1.586997655,0.1,0.1,0.1,0.1,0.1,0.1
"Bfsp1",0.1,0.815909471,0.623358419,1.09133177,0.1,0.1,0.1,0.1,0.1,0.1
"Cd180",0.1,0.815909471,1.146716838,1.586997655,0.1,0.1,0.1,0.1,0.1,0.1
"Cdkl5",0.1,0.1,1.146716838,1.586997655,0.1,0.1,0.1,0.1,0.1,0.1
"1700003M02Rik",0.1,0.1,1.146716838,1.586997655,0.1,0.1,0.1,0.1,0.1,0.1
"1810062O18Rik",0.1,0.1,1.146716838,2.08266354,0.1,0.1,0.1,0.1,0.1,0.1
"Btla",0.1,0.1,0.623358419,2.08266354,0.1,0.1,0.1,0.1,0.1,0.1
"1700020G17Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"1600002D24Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"1700026D08Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"1700030O20Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"2210039B01Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"2810405F15Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"2900060B14Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4732490B19Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4833419F23Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4921517D22Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4930515G01Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4930548J01Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4930562C15Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4930563F08Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4930568E12Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4933413J09Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4933425B07Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4933436H12Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"4933440J02Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"5330434G04Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"5830411N06Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"9330182O14Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"A630077J23Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Avpr1b",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"B020004C17Rik",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Bend6",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"C2cd4c",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Cacna1e",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Calml3",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Cdh18",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Cntnap1",0.1,0.1,0.1,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"9430069I07Rik",0.1,0.1,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"2310002F09Rik",0.1,0.1,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"A230056P14Rik",0.1,0.1,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"AU022754",0.1,0.1,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"Abca17",0.1,0.1,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"Adra2a",0.1,0.1,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"Ascl2",0.1,0.1,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"BB123696",0.1,0.1,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"Bsn",0.1,0.1,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"5730422E09Rik",0.1,0.815909471,0.623358419,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"4930519F09Rik",0.1,0.815909471,0.623358419,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"2310015D24Rik",0.1,0.815909471,0.623358419,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"1500015O10Rik",0.1,0.815909471,0.623358419,0.1,1.144428831,0.1,0.1,0.1,0.1,0.1
"Arhgap15os",0.1,0.815909471,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
"1700003E16Rik",0.1,0.815909471,0.1,0.595665885,1.144428831,0.1,0.1,0.1,0.1,0.1
