"","Test.kidney.2","Control.kidney.1","Control.lung.1","Test.lung.1","Test.lung.2","Control.lung.2","Control.liver.1","Test.liver.2","Test.liver.1","Control.liver.2"
"1700016C15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700016G22Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700016H13Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700016L04Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700016L21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700016P04Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700017D01Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700017G19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700017J07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700017N19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700018B08Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700018B24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700018C11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700018F24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700018G05Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700019A02Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700019B03Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700019B21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700019E08Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700019G24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700019M22Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700019N19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700020A23Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700020D05Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700020L24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700020M21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700020N01Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700020N15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700020N18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700021F07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700021N21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700022A21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700022A22Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700022E09Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700022H16Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700022I11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700023C21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700023E05Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700023F02Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700023F06Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700024B18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700025B11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700025C18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700025F22Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700025F24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700025M24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700026F02Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700027A15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700027F09Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700027H10Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700027I24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700027J07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700028B04Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700028I16Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700028M03Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700028P14Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700028P15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700029B22Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700029F12Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700029H14Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700029J03Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700029M20Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700029N11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700029P11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700030A11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700030F04Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700030F18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700030L20Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700030M09Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700030N03Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700031F05Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700031M16Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700031P21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700034E13Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700034F02Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700034G24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700034I23Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700034K08Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700034O15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700039E15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700039E22Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700041C23Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700041M19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700042B14Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700042G07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700042O10Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700044C05Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700044K03Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700045H11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700046C09Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700047I17Rik2",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700048M11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700049E15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700049E22Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700049L16Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700051A21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700052I22Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700054A03Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700054K19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700054M17Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700054O13Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700055C04Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700057G04Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700060C16Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700060C20Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700061F12Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700063A18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700063O14Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700064J06Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700064M15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700065D16Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700065I16Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700065J11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700065J18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700065L07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700065O20Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700066B17Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700066B19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700066N21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700066O22Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700067G17Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700067P10Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700069L16Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700071K01Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700072B07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700072O05Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700074H08Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700074P13Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700080E11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700080N15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700080O16Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700081H04Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700084C01Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700084E18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700084F23Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700085C21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700086L19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700091H14Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700092C02Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700092C10Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700092E19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700092K14Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700092M07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700094M24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700095A21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700095B10Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700096J18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700100L14Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700101E01Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700101O22Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700102H20Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700104L18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700105P06Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700106J16Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700108F19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700108J01Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700109G14Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700109G15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700109I08Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700110C19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700110I01Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700112H15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700112J05Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700113H08Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700119H24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700120G07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700121N20Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700122O11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700123K08Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700123L14Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700123O12Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700123O21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700125G02Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700125G22Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700125H03Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700125H20Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700126H18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700128A07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700129C05Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1810006J02Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1810007D17Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1810009A15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1810009J06Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1810013A23Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1810018F18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1810065E05Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2010001E11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2010010A06Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2010106C02Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2010106E10Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2200002J24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2210010C04Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2210019I11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
